Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
05/2008,,1103441,,
06/2008,,667409,,
07/2008,,431820,,
08/2008,,269655,,
09/2008,,236625,,
10/2008,,254136,,
11/2008,,410393,,
12/2008,,480017,,
01/2009,,701877,,
02/2009,,820771,,
03/2009,,1006276,,
04/2009,,959210,,
05/2009,,710595,,
06/2009,,350801,,
07/2009,,380491,,
08/2009,,401559,,
09/2009,,421203,,
10/2009,,502230,,
11/2009,,605139,,
12/2009,,873682,,
01/2010,,1159828,,
02/2010,,1439270,,
03/2010,,1715110,,
04/2010,,1668806,,
05/2010,,1447635,,
06/2010,,1185237,,
07/2010,,903601,,
08/2010,,774865,,
09/2010,,788588,,
10/2010,,911061,,
11/2010,,1142743,,
12/2010,,1532646,,
01/2011,,1904771,,
02/2011,,2006021,,
03/2011,,2034956,,
04/2011,,2026311,,
05/2011,,1830803,,
06/2011,,1824920,,
07/2011,,1685702,,
08/2011,,1492906,,
09/2011,,1516179,,
10/2011,,1721469,,
11/2011,,1759187,,
12/2011,,1928320,,
01/2012,,1938318,,
02/2012,,1721829,,
03/2012,,1763906,,
04/2012,,1646764,,
05/2012,,1306689,,
06/2012,,856617,,
07/2012,,677891,,
08/2012,,598520,,
09/2012,,640014,,
10/2012,,674390,,
11/2012,,807324,,
12/2012,,1098379,,
01/2013,,1211780,,
02/2013,,1221168,,
03/2013,,1298825,,
04/2013,,1109961,,
05/2013,,784896,,
06/2013,,424805,,
07/2013,,318979,,
08/2013,,464705,,
09/2013,,504424,,
10/2013,,433747,,
11/2013,,513870,,
12/2013,,603713,,
01/2014,,615668,,
02/2014,,675615,,
03/2014,,856047,,
04/2014,,955758,,
05/2014,,848080,,
06/2014,,654911,,
07/2014,,456514,,
08/2014,,379996,,
09/2014,,463945,,
10/2014,,393798,,
11/2014,,488516,,
12/2014,,820209,,
01/2015,,1102924,,
02/2015,,1293156,,
03/2015,,1353537,,
04/2015,,1273053,,
05/2015,,1090440,,
06/2015,,813104,,
07/2015,,522825,,
08/2015,,409593,,
09/2015,,397672,,
10/2015,,347784,,
11/2015,,395733,,
12/2015,,436272,,
01/2016,,--,,
