Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
12/2009,,14301,,3.23,,
01/2010,,12621,,3.71,,
02/2010,,23000,,5.11,,
03/2010,,42492,,1.09,,
04/2010,,104720,,3.53,,
05/2010,,144055,,0.22,,
06/2010,,180601,,0.00,,
07/2010,,89592,,0.00,,
08/2010,,20811,,0.00,,
09/2010,,10109,,0.10,,
10/2010,,14915,,3.57,,
11/2010,,22373,,3.74,,
12/2010,,63746,,9.70,,
01/2011,,36956,,1.92,,
02/2011,,19141,,1.50,,
03/2011,,93535,,4.68,,
04/2011,,88050,,0.66,,
05/2011,,128090,,0.43,,
06/2011,,181026,,0.42,,
07/2011,,136823,,0.00,,
08/2011,,51222,,0.00,,
09/2011,,10439,,0.00,,
10/2011,,22503,,0.76,,
11/2011,,20216,,1.08,,
12/2011,,14224,,0.00,,
01/2012,,27985,,2.62,,
02/2012,,40080,,0.92,e,
03/2012,,64544,,3.45,,
04/2012,,131225,,3.46,,
05/2012,,177405,,0.10,,
06/2012,,128364,,0.01,,
07/2012,,32541,,0.02,,
08/2012,,16931,,0.00,,
09/2012,,12911,,0.00,,
10/2012,,11654,,0.28,,
11/2012,,14233,,0.91,,
12/2012,,18309,,2.99,,
01/2013,,26238,,0.71,,
02/2013,,26621,,0.87,,
03/2013,,46104,,0.49,,
04/2013,,77779,,0.02,,
05/2013,,96272,,0.51,,
06/2013,,58388,,0.00,,
07/2013,,27376,,0.06,,
08/2013,,19404,,0.00,,
09/2013,,13878,,0.06,,
10/2013,,9651,,0.08,,
11/2013,,9765,,0.58,,
12/2013,,11233,,0.31,e,
01/2014,,12415,,0.39,,
02/2014,,17733,,1.49,e,
03/2014,,28555,,1.25,,
04/2014,,53807,,1.24,e,
05/2014,,83203,,0.14,,
06/2014,,45766,,0.03,,
07/2014,,26760,,0.00,,
08/2014,,20432,,0.00,,
09/2014,,16815,,0.00,,
10/2014,,14204,,0.54,,
11/2014,,15922,,0.00,,
12/2014,,22455,,0.00,,
01/2015,,26261,,0.00,,
02/2015,,42450,,5.17,,
03/2015,,53641,,0.00,,
04/2015,,61138,,0.00,,
05/2015,,71884,,0.00,,
06/2015,,48215,,0.00,,
07/2015,,29826,,0.00,,
08/2015,,23860,,0.00,,
09/2015,,17883,,0.00,,
10/2015,,15864,,1.75,,
11/2015,,21268,,2.44,,
12/2015,,21853,,4.02,,
01/2016,,--,,--,,
