Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
01/2009,,175170,,
02/2009,,175640,,
03/2009,,178480,,
04/2009,,177820,r,
05/2009,,198750,,
06/2009,,195360,,
07/2009,,188450,,
08/2009,,177752,,
09/2009,,167940,,
10/2009,,168320,,
11/2009,,170250,,
12/2009,,169490,,
01/2010,,173770,,
02/2010,,168842,,
03/2010,,167580,,
04/2010,,178590,,
05/2010,,193600,,
06/2010,,198680,,
07/2010,,192400,,
08/2010,,191500,,
09/2010,,186940,,
10/2010,,170230,,
11/2010,,165100,,
12/2010,,192990,,
01/2011,,194500,,
02/2011,,191680,,
03/2011,,199420,,
04/2011,,199400,,
05/2011,,198910,,
06/2011,,199710,,
07/2011,,193820,,
08/2011,,190400,,
09/2011,,183440,,
10/2011,,163300,,
11/2011,,172200,,
12/2011,,167080,,
01/2012,,176660,,
02/2012,,166730,,
03/2012,,188080,,
04/2012,,198390,,
05/2012,,195270,,
06/2012,,192730,,
07/2012,,195850,,
08/2012,,191630,,
09/2012,,189120,,
10/2012,,181220,,
11/2012,,186360,,
12/2012,,179970,,
01/2013,,173730,,
02/2013,,165650,,
03/2013,,170505,,
04/2013,,183660,,
05/2013,,191570,,
06/2013,,196690,,
07/2013,,194960,,
08/2013,,194610,,
09/2013,,189770,,
10/2013,,180550,,
11/2013,,179840,,
12/2013,,175030,,
01/2014,,158630,,
02/2014,,159970,,
03/2014,,161070,,
04/2014,,163240,,
05/2014,,176350,,
06/2014,,183780,,
07/2014,,173060,,
08/2014,,172920,,
09/2014,,162400,,
10/2014,,160567,,
11/2014,,170783,,
12/2014,,167754,,
01/2015,,165502,,
02/2015,,178472,,
03/2015,,176140,,
04/2015,,178584,,
05/2015,,179171,,
06/2015,,175220,,
07/2015,,170545,,
08/2015,,162984,,
09/2015,,139564,,
10/2015,,107579,,
11/2015,,107445,,
12/2015,,126964,,
01/2016,,--,,
