Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
09/2008,,61107,,
10/2008,,52646,,
11/2008,,43177,,
12/2008,,37473,,
01/2009,,45265,,
02/2009,,55552,,
03/2009,,56387,,
04/2009,,60895,,
05/2009,,64772,,
06/2009,,64065,,
07/2009,,65800,r,
08/2009,,65800,r,
09/2009,,61613,,
10/2009,,56170,,
11/2009,,55218,,
12/2009,,55975,,
01/2010,,59750,,
02/2010,,57402,,
03/2010,,56127,,
04/2010,,59032,,
05/2010,,65560,,
06/2010,,64661,,
07/2010,,64674,,
08/2010,,65708,,
09/2010,,60745,,
10/2010,,54513,,
11/2010,,55574,,
12/2010,,55368,,
01/2011,,55607,,
02/2011,,57725,,
03/2011,,57005,,
04/2011,,62441,,
05/2011,,65191,,
06/2011,,65970,,
07/2011,,66020,,
08/2011,,65634,,
09/2011,,62202,,
10/2011,,56398,,
11/2011,,55823,,
12/2011,,56784,,
01/2012,,56138,,
02/2012,,56508,,
03/2012,,57792,,
04/2012,,60178,,
05/2012,,66069,,
06/2012,,65166,,
07/2012,,65338,,
08/2012,,65301,,
09/2012,,60710,,
10/2012,,54951,,
11/2012,,46792,,
12/2012,,39252,,
01/2013,,33421,,
02/2013,,43854,,
03/2013,,56972,,
04/2013,,61577,,
05/2013,,64649,,
06/2013,,64113,,
07/2013,,65572,,
08/2013,,64563,,
09/2013,,61036,,
10/2013,,57005,,
11/2013,,55682,,
12/2013,,55867,,
01/2014,,56464,,
02/2014,,56751,,
03/2014,,58218,,
04/2014,,61307,,
05/2014,,65683,,
06/2014,,65907,,
07/2014,,65129,,
08/2014,,64501,,
09/2014,,61742,,
10/2014,,56883,,
11/2014,,55292,,
12/2014,,56062,,
01/2015,,56475,,
02/2015,,57347,,
03/2015,,57358,,
04/2015,,61236,,
05/2015,,63980,,
06/2015,,66107,,
07/2015,,64760,,
08/2015,,63592,,
09/2015,,54684,,
10/2015,,54015,,
11/2015,,54289,,
12/2015,,55812,,
01/2016,,--,,
